number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
213,213,6/23/20,"Ujiie, Y.; Yamashita, W.; Fujisaki, W.; Kanazawa, S.; Yamaguchi, M. K.",Crossmodal association of auditory and visual material properties in infants,Scientific Reports,2018,E,E,Crossmodal mappings between visual and auditory material information,A,A,"B,C",AV,moving,"I - Wood/metal sound, clapping metal/wood)",B,"A,C,D",lab,awake,"Alternating trial design (match vs. mismatch) - trials (12.4s each) consisted of videos of a human hand hitting either a wood or metal object with a small stick, infants were randomly assigned to sound condition (wood sound vs. metal sound), visual stimuli varied to create match vs. mismatch trials but auditory stimuli remained the same, trials separated by at least 12.8s baseline silent ITI, 16 infants were tested in only one sound condition and 16 infants were tested in both sound conditions",D,A,Not reported ,NA,12.4,12.4,At least 6,Not reported ,NA,"168 days (137 days for 4 to 5mo group, 200 days for 6 to 8mo group)",5.6,4 to 8 (114 to 163 days for 4 to 5mo group),3.8 to 7.73,non-newborn,19,0.59375,Japanese,full-term,td,healthy,Hitachi ,ETG 4000,8,24,39,5,2,0,0,"32 (16 in 4 to 5mo group, 16 in 6 to 8mo group)",32,1,1,0.17948718,0.128205128,0.051282051,NA
215,215,6/26/20,"Urlesberger, B.; Trip, K.; Ruchti, J. J. I.; Kerbl, R.; Reiterer, F.; Mäš_Œ_ller, W.",Quantification of cyclical fluctuations in cerebral blood volume in healthy infants,Neuropediatrics,1998,"H, I - Cyclical fluctuations of cerebral blood volume during sleep)",H,Amplitude of cyclical fluctuations of cerebral blood volume during sleep,A,A,F,None,,H,C,A,lab,sleeping,Infants tested during undisturbed daytime sleep for at least 2 hours,D,D (fluctuations in blood volume),1,1,At least 2 hours ,7200,Not reported ,113min (median),7200,7 weeks,1.63,6 to 8 weeks,1.4 to 18.87,non-newborn,28,0.528301887,Austrian ,full-term,td,"healthy, full-term, normal polysomnography",Hamamatsu,NIRO 500,NA,NA,58,5,0,0,0,53,53,1,1,0.086206897,0.086206897,NA,NA
216,216,6/25/20,"van der Kant, Anne; Biro, Szilvia; Levelt, Claartje; Huijbregts, Stephan",Negative affect is related to reduced differential neural responses to social and non-social stimuli in 5-to-8-month-old infants: A functional near-infrared spectroscopy-study,Developmental Cognitive Neuroscience,2018,F,F,Relationship between infant temperament and cortical responses to social vs. non-social stimuli,"A,B",A,B,V,moving,"A,E,I (moving machines/mechanical toys)",B,"A,C,D",lab,awake,"Trial design (16s each) - 12 social dynamic experimental trials (actor moving eyes/mouth or playing hand games) + 12 non-social dynamic experimental trials (moving machines/mechanical toys), separated by baseline trials with static images of cars and helicopters, Infant Behavior Questionnaire to assess negative affect","A,B,D",A,24 (12 per condition),24,16,16,19.7 (9.8 social dynamic trials + 9.9 non-social dynamic trials),315.2,384,185.1 days ,6.17,5 to 8 (142 to 275 days),4.73 to 9.17,non-newborn,16,0.432432432,Dutch,full-term,td,healthy,NIRx,NIRScout,8,20,69,17,15,0,0,37,37,1,1,0.463768116,0.246376812,0.217391304,NA
217,217,6/25/20,"Vannasing, Phetsamone; Florea, Olivia; Gonzäš_ŒÁlez-Frankenberger, Berta; Tremblay, Julie; Paquette, Natacha; Safi, Dima; Wallois, Fabrice; Lepore, Franco; Bäš_Œ©land, Renäš_Œ©e; Lassonde, Maryse; Gallagher, Anne",Distinct hemispheric specializations for native and non-native languages in one-day-old newborns identified by fNIRS,Neuropsychologia,2016,C,C,Cortical responses to native vs. non-native speech in neonates,A,A,C,A,,"D,I (backwards speech)",A,C,hospital,sleeping,"Newborns tested while sleeping on their fathers' laps, randomly assigned to one of two speech conditions (forward vs. backward), auditory stimuli consisted of a children's story read in native language (French) vs. non-native language (Arabic), exposed to 36 blocks (18 French, 18 Arabic) consisting of 20s baseline + 20s auditory stimulation + 40s resting period",D,A,36,36,20,20,"28 (forward condition - 14 French blocks + 14 Arabic blocks), 26 (backward condition - 12 French blocks + 14 Arabic blocks)","40min or 560 (forward condition), 520 (backward condition)",720,28 hours,0.0389,1 day (15 to 37 hours),Newborn,newborn,"12 (7 in forward condition, 5 in backward condition)",0.444444444,French,full-term,td,"healthy, full-term (37 to 42 weeks gestation), normal auditory function, Apgar score >8 at 1min, 5min, and 10min, no bilirubinemia, encephalopathy, or gestational diabetes",ISS,Imagent,2,8,29,2,0,0,0,27,27,1,1,0.068965517,0.068965517,NA,NA
219a,219,6/25/20,"Wagner, Jennifer B.; Fox, Sharon E.; Tager-Flusberg, Helen; Nelson, Charles A.",Neural processing of repetition and non-repetition grammars in 7- and 9-month-old infants,Frontiers in Psychology,2011,C,C,Repetitive and Non-repetitive grammar effects in infants,A,A,C,A,,D,A,"A,D",lab,awake,"28 blocks (16s each) in 2 conditions (ABB vs. ABC), auditory stimuli consisted of trisyllabic sequences of words in either a repetition-based ABB artificial grammer or non-repitition-based ABC artificial grammar, blocks separated by a random length silent pause of at least 15s, silent videos of moving shapes were presented along with auditory stimuli to maintain attention and experimenters also played with silent toys or bubbles to keep infants calm as needed",D,A,28,28,16,16,Not reported ,Not reported ,448,208 days (7mo group),6.93,7,7,non-newborn,6,0.461538462,None,full-term,td,"full-term (>36 weeks), normal birthweight (>2500g), no known neurological abnormalities",Hitachi ,ETG 4000,8,24,18,0,5,0,0,13,13,1,1,0.277777778,NA,0.277777778,NA
219b,219,6/25/20,"Wagner, Jennifer B.; Fox, Sharon E.; Tager-Flusberg, Helen; Nelson, Charles A.",Neural processing of repetition and non-repetition grammars in 7- and 9-month-old infants,Frontiers in Psychology,2011,C,C,Repetitive and Non-repetitive grammar effects in infants,A,A,C,A,,D,A,"A,D",lab,awake,"28 blocks (16s each) in 2 conditions (ABB vs. ABC), auditory stimuli consisted of trisyllabic sequences of words in either a repetition-based ABB artificial grammer or non-repitition-based ABC artificial grammar, blocks separated by a random length silent pause of at least 15s, silent videos of moving shapes were presented along with auditory stimuli to maintain attention and experimenters also played with silent toys or bubbles to keep infants calm as needed",D,A,28,28,16,16,Not reported ,Not reported ,448,286 days (9mo group),9.53,9,9,non-newborn,9,0.6,None,full-term,td,"full-term (>36 weeks), normal birthweight (>2500g), no known neurological abnormalities",Hitachi ,ETG 4000,8,24,17,0,2,0,0,15,15,1,1,0.117647059,NA,0.117647059,NA
220a,220,6/30/20,"Watanabe, H.; Homae, F.; Nakano, T.; Taga, G.",Functional activation in diverse regions of the developing brain of human infants,NeuroImage,2008,D,D,Cortical responses to visual stimulation,A,A,"B,C",AV,moving,"G,F,I (moving mobile objects)",B,A,lab,awake,"16 trials (5s each) in 2 conditions (moving colorful mobile objects vs. black-and-white checkerboard pattern reversals, both presented with bell sounds), separated by 10s ITI (video images of fireworks with soft sounds)","A,C,D",A,16,16,5,5,12.8 (study 1 - 6.5 mobile trials + 6.3 checkerboard trials)),64 (study 1),80,110.8 days (study 1),3.69,3 (93 to 125 days for study 1),3.1 to 4.17,non-newborn,16,0.457142857,Japanese,full-term,td,"healthy, fullterm ",Hitachi ,ETG 100 (used 2 systems),16,48,87,16,36,0,0,35,35,1,1,0.597701149,0.183908046,0.413793103,NA
220b,220,6/30/20,"Watanabe, H.; Homae, F.; Nakano, T.; Taga, G.",Functional activation in diverse regions of the developing brain of human infants,NeuroImage,2008,D,D,Cortical responses to visual stimulation,A,A,"B,C",AV,moving,"G,F,I (moving mobile objects)",B,A,lab,awake,"16 trials (5s each) in 2 conditions (moving colorful mobile objects vs. black-and-white checkerboard pattern reversals, both presented with bell sounds), separated by 10s ITI (video images of fireworks with soft sounds)","A,C,D",A,16,16,5,5,11.9 (study 2 - 6.2 mobile trials + 5.7 checkerboard trials),59.5 (study 2),80,113.1 days (study 2),3.77,3 (99 to 128 days for study 2),3.3 to 4.27,non-newborn,21,0.567567568,Japanese,full-term,td,"healthy, fullterm ",Hitachi ,ETG 7000,21,84,144,43,64,0,0,37,37,1,1,0.743055556,0.298611111,0.444444444,NA
222,222,6/26/20,"Watanabe, Hama; Homae, Fumitaka; Nakano, Tamami; Tsuzuki, Daisuke; Enkhtur, Lkhamsuren; Nemoto, Kiyotaka; Dan, Ippeita; Taga, Gentaro",Effect of auditory input on activations in infant diverse cortical regions during audiovisual processing,Human Brain Mapping,2013,"E,C,D",E,Cortical responses to audiovisual vs. visual-only processing,A,A,"B,C",AV,moving,"G,I (moving mobile toy objects)",B,A,lab,awake,"Alternating trial design (5s each) consisting of moving images of colorful objects on a mobile toy, 6 trials presented with sound of ringing bells, 6 trials presented with no sound, trials separated by 10s ITI with firework attention getters","A,C,D",A,12,12,5,5,10.3 (5.1 sound trials + 5.2 no sound trials),51.5,60,112.36 days ,3.75,3 (101 to 123 days),3.37 to 4.1,non-newborn,25,0.5,Japanese,full-term,td,"healthy, fullterm ",Hitachi ,ETG 7000,30,94,157,46,61,0,0,50,50,1,1,0.681528662,0.292993631,0.388535032,NA
223,223,6/26/20,"Watanabe, Hama; Homae, Fumitaka; Taga, Gentaro",General to specific development of functional activation in the cerebral cortexes of 2- to 3-month-old infants,NeuroImage,2010,"D, I- Functional development of frontal cortex","D, I- Functional development of frontal cortex",Functional activation patterns during visual perception,A,A,"B,C",AV,moving,"F,G,I (moving mobile objects)",B,"A,D",lab,awake,"16 trials (5s each) in 2 conditions (moving colorful mobile objects vs. black-and-white checkerboard pattern reversals, both presented with bell sounds), separated by 10s ITI (video images of fireworks with soft sounds)","A,C",A,16,16,5,5,11.17 (5.69 mobile trials + 5.48 checkerboard trials),55.85,80,82.4 days ,2.75,2 (74 to 89 days),2.47 to 2.97,non-newborn,18,0.45,Japanese,full-term,td,"healthy, fullterm ",Hitachi ,ETG 100,16,48,204,109,55,0,0,40,40,1,1,0.803921569,0.534313726,0.269607843,NA
224,224,6/30/20,"Watanabe, Hama; Homae, Fumitaka; Taga, Gentaro",Activation and deactivation in response to visual stimulation in the occipital cortex of 6äó_í‹íÈmonthäó_í‹íÈold human infants,Developmental Psychobiology,2012,D,D,Cortical responses to visual stimulation,A,A,"A,B,C",AV,moving,"F,G,I (background acoustic noise)",B,A,lab,awake,"16 trials (5s each) in 2 conditions (high luminance/non-flickering unpatterned screens presented with background acoustic noise vs. black-and-white checkerboard pattern reversals presented with bell sounds), separated by 10s ITI (video images of fireworks with soft sounds)","A,C,D",A,16,16,5,5,12.84 (6.42 trials per condition),64.2,80,188.97 days,6.3,6 (180 to 209 days),6 to 6.97,non-newborn,18,0.514285714,Japanese,full-term,td,"healthy, fullterm ",Hitachi ,ETG 7000,30,94,87,22,30,0,0,35,35,1,1,0.597701149,0.252873563,0.344827586,NA
225a,225,6/26/20,"Werchan, D. M.; Amso, D.",Top-down knowledge rapidly acquired through abstract rule learning biases subsequent visual attention in 9-month-old infants,Developmental Cognitive Neuroscience,2020,"G,A,B",A,"Infants' rule learning, visual attention, and PFC/visual cortex connectivity","A,C",B,A,V,static,F,"A,B","A,C",lab,awake,"4 trials of attention bias priming task, and a rule learning task with two blocks  (16 trials each) of a learning phase and 8 trials in the generalization phase","A,C","A,B",16,16,4,4,Not reported,Not reported ,64,9.45 (study 1),9.45,Not reported,Not reported,non-newborn,20,0.5,None,full-term,td,"not premature, not low birth weight, no history of serious health problems",TechEn NIRS system,CW6,6,6,43,3,0,0,0,40,40,1,1,0.069767442,0.069767442,NA,NA
225b,225,6/26/20,"Werchan, D. M.; Amso, D.",Top-down knowledge rapidly acquired through abstract rule learning biases subsequent visual attention in 9-month-old infants,Developmental Cognitive Neuroscience,2020,"G,A,B",A,"Infants' rule learning, visual attention, and PFC/visual cortex connectivity","A,C",B,A,V,static,F,"A,B","A,C",lab,awake,"4 trials of attention bias priming task, and a rule learning task with two blocks  (16 trials each) of a learning phase and 8 trials in the generalization phase","A,C","A,B",16,16,4,4,Not reported,Not reported ,64,9.5 (study 2),9.5,Not reported,Not reported,non-newborn,16,0.533333333,None,full-term,td,"not premature, not low birth weight, no history of serious health problems",TechEn NIRS system,CW6,6,6,36,4,0,2,0,30,30,1,1,0.166666667,0.111111111,NA,0.055555556
226,226,6/26/20,"Werchan, Denise M.; Baumgartner, Heidi A.; Lewkowicz, David J.; Amso, Dima",The origins of cortical multisensory dynamics: Evidence from human infants,Developmental Cognitive Neuroscience,2018,"E,C,D",E,Temporal and occipital responses to synchronous vs. asynchronous audiovisual information,A,A,"B,C",AV,moving,"F,G","A,B",A,lab,awake,"Block design - 10s baseline white fixation cross on a black background + 20s experimental block, visual stimuli consisted of a red or green ball moving across a rectangular grid of white dots and auditory stimuli consisted of ""bang"" or ""boing"" sounds, each block was composed of 3 events: 20s audiovisual familiarization event + 20s visual-only test event + 20s sound-only test event, blocks were either synchronous (sound presented when ball reached the edge of the grid) or asynchronous (sound presented 450ms before the ball reached the edge of the grid)","C,D","A,B",Not reported ,NA,60,60,Not reported,Not reported ,NA,134.2 days,4.47,3.5 to 5,3.5 to 5,non-newborn,31,0.476923077,None,full-term,td,"full-term (37+ weeks gestation), not very low birthweight, no health problems",TechEn,CW6,8,8,85,14,5,0,1 (parental interference) ,65,65,1,1,0.226190476,0.166666667,0.05952381,NA
227,227,6/26/20,"Werchan, Denise M.; Collins, Anne G. E.; Frank, Michael J.; Amso, Dima",Role of prefrontal cortex in learning and generalizing hierarchical rules in 8-month-old infants,The Journal of Neuroscience,2016,G,G,Prefrontal cortex response to rule learning,"A,B,C",A,"A,C",AV,static,"A,D,I (toys)","A,B",A,lab,awake,"Experiment consisted of 3 phases (learning task, generalization task, and violation-of-expectation inference test) but fNIRS recording only took place during the learning task, this task consisted of 4 blocks (24s each) of 8 trials (2s each - a face was presented for 500ms then a toy was presented for 1500ms and labeled with a novel monosyllabic word), 4 different toy-word pairings were presented, 2 learning blocks were presented in the stay condition (higher-order association between face and voice remained constant) and 2 were presented in the switch condition (face-voice pairings switched), learning blocks separated by 10s baseline black screen with white fixation cross on a black screen, generalization task consistred of 24 trials (2s each) where both novel face-voice pairings and toy-word pairings were introduced, inference test consisted of 4 trials (2 consistent, 2 inconsistent with learned pairings) where the face-voice association from the learning task was presented with toy-word pairings from the generalization task (presented for up to 60s or until infant looked away for >2s)",A,A,"fNIRS recording: 4 (blocks), 32 (trials)",32,"24 (block), 2 (trial)",2,Not reported,Not reported ,64,8.5,8.5,8,8,non-newborn,20,0.540540541,None,full-term,td,"healthy, full-term, no current or past history of severe health problems, developmental delays, or birth complications",TechEn,CW6,8,10,40,2,1,0,0,37,37,1,1,0.075,0.05,0.025,NA
228b,228,6/26/20,"Wijeakumar, S.; Kumar, A.; Delgado Reyes, L. M.; Tiwari, M.; Spencer, J. P.",Early adversity in rural India impacts the brain networks underlying visual working memory,Developmental Science,2019,"B,D",B,Impact of early adversity on visual working memory abilities,"A,B,F (demographic questionnaires)",A,A,V,static,F,B,"A,C,D",lab,awake,"Trial design (10s each) in 3 working memory load conditions (low, medium, high), each trial preceded by attentional cue and then consisted of two side by side flashing displays of colored squares (500ms on, 250ms off) where one square on one side changed color after each blink, trials separated by 5s ITI gray screen",A,A,36,36,10,10,19.4 (6.5 low load trials + 6.2 medium load trials + 6.7 high load trials),194,360,US group (3.9 for 4mo group),3.9,US group (4),4,non-newborn,7,0.4375,None,full-term,td,"full-term, no major psychiatric illnesses or unusual characteristics for participants or mothers",TechEn,Not reported,6,8,Not reported,NA,Not reported,Not reported,0,16,16,0,0,NA,NA,NA,NA
228c,228,6/26/20,"Wijeakumar, S.; Kumar, A.; Delgado Reyes, L. M.; Tiwari, M.; Spencer, J. P.",Early adversity in rural India impacts the brain networks underlying visual working memory,Developmental Science,2019,"B,D",B,Impact of early adversity on visual working memory abilities,"A,B,F (demographic questionnaires)",A,A,V,static,F,B,"A,C,D",lab,awake,"Trial design (10s each) in 3 working memory load conditions (low, medium, high), each trial preceded by attentional cue and then consisted of two side by side flashing displays of colored squares (500ms on, 250ms off) where one square on one side changed color after each blink, trials separated by 5s ITI gray screen",A,A,36,36,10,10,19.4 (6.5 low load trials + 6.2 medium load trials + 6.7 high load trials),194,360,US group (14.7 for 1yo group),14.7,US group (12),12,non-newborn,10,0.526315789,None,full-term,td,"full-term, no major psychiatric illnesses or unusual characteristics for participants or mothers",TechEn,Not reported,6,8,Not reported,NA,Not reported,Not reported,0,19,19,0,0,NA,NA,NA,NA
229,229,6/26/20,"Wilcox, T.; Bortfeld, H.; Woods, R.; Wruck, E.; Boas, D. A.",Using near-infrared spectroscopy to assess neural activation during object processing in infants,Journal of Biomedical Optics,2005,D,D,Ventral pathway involvement in object individuation,A,A,B,V,moving,I (moving ball and box),B,A,lab,awake,"Trial design (30s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved a box behind the left edge of a screen (2s) and then a ball emerged from behind the right edge and moved to the right end of the platform (2s) then the ball paused (1s) and events reversed and repeated until the end of the trial, trials separated by 10s silent ITI","C,D",A,4,4,30,30,Not reported,Not reported,120,6:12,6.4,5:14 to 6:25,5.47 to 6.83,non-newborn,2,0.285714286,None,full-term,td,Not reported ,Not reported ,Not reported,4,8,10,0,3,0,0,7,7,1,1,0.3,NA,0.3,NA
230d,230,6/27/20,"Wilcox, Teresa; Biondi, Marisa",Functional activation in the ventral object processing pathway during the first year,Frontiers in Systems Neuroscience,2016,"B,D",B,Developmental changes in ventral pathway activation during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,"A,C,D",lab,awake,"Trial design (20s or 24s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, infants were randomly assigned to one of 3 conditions involving featural changes after the object emerged on the other side of the box for study 1 (shape difference, color difference, control - no difference), study 2 included the same conditions but infants were tested in all 3 (12 trials, 20s each)","C,D",A,12 (study 2),12,20,20,Not reported,Not reported,240,168 days (study 2 - 4 to 6mo group),5.6,4 to 6 [125 to 208 days],4.17 to 6.93,non-newborn,6,0.333333333,None ,full-term,td,Not reported ,TechEn,Not reported,NA,NA,26,NA,Not reported ,Not reported ,Not reported ,18,18,1,0,0.307692308,NA,NA,NA
230e,230,6/27/20,"Wilcox, Teresa; Biondi, Marisa",Functional activation in the ventral object processing pathway during the first year,Frontiers in Systems Neuroscience,2016,"B,D",B,Developmental changes in ventral pathway activation during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,"A,C,D",lab,awake,"Trial design (20s or 24s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, infants were randomly assigned to one of 3 conditions involving featural changes after the object emerged on the other side of the box for study 1 (shape difference, color difference, control - no difference), study 2 included the same conditions but infants were tested in all 3 (12 trials, 20s each)","C,D",A,12 (study 2),12,20,20,Not reported,Not reported,240,352 days (study 2 - 10 to 12mo group),11.73,10 to 12 [314 to 400 days],10.47 to 13.33,non-newborn,6,0.375,None ,full-term,td,Not reported ,TechEn,Not reported,NA,NA,29,NA,Not reported ,Not reported ,Not reported ,16,16,1,0,0.448275862,NA,NA,NA
231,231,6/27/20,"Wilcox, Teresa; Bortfeld, Heather; Woods, Rebecca; Wruck, Eric; Armstrong, Jennifer; Boas, David",Hemodynamic changes in the infant cortex during the processing of featural and spatiotemporal information,Neuropsychologia,2009,D,D,Temporal vs. occipital cortex responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",A,A,lab,awake,"Trial design (30s each) presented in 2 blocks for the 2 conditions (featural change vs. spatiotemporal change change), trials consisted of live movement of objects on a stage - experimenter wearing a white glove moved an object behind a box and it emerged from the other side with a change in shape/color or speed of movement, trials separated by 10s silent ITI","C,D",A,"2 (blocks), 8 (4 trials per condition)",8,30,30,6.92,207.6,240,6:15,6.5,5:12 to 7:11,5.40 to 7.37,non-newborn,4,0.333333333,None,full-term,td,Not reported ,TechEn,Not reported,4,NA,24,0,12,0,0,12,12,1,1,0.5,NA,0.5,NA
232,232,6/27/20,"Wilcox, Teresa; Bortfeld, Heather; Woods, Rebecca; Wruck, Eric; Boas, David A.",Hemodynamic response to featural changes in the occipital and inferior temporal cortex in infants: A preliminary methodological exploration,Developmental Science,2008,D,D,Temporal vs. occipital cortex responses to featural changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,C,lab,awake,Multi-featural: 30s test trial of ball and box emerged successively to opposite sides. Shape change/color change: same process with the respective characteristic changing once stimuli emerged on opposite side of screen,"C,D",A,4,4,30,30,3.86,115.8,120,6:17,6.57,5:12 to 7:22,5.40 to 7.73,non-newborn,14,0.4,None,full-term,td,Not reported ,TechEn ,Not reported,4,NA,53,0,14,4,0,35,35,1,1,0.339622642,NA,0.264150943,0.075471698
233a,233,6/28/20,"Wilcox, Teresa; Haslup, Jennifer A.; Boas, David A.",Dissociation of processing of featural and spatiotemporal information in the infant cortex,NeuroImage,2010,D,D,Cortical responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,C,lab,awake,"Trial design (20s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1 included 3 conditions involving featural changes after the object emerged on the other side of the box (shape difference, color difference, control - no difference), study 2 included 3 conditions involving spatiotemporal changes after the object emerged on the other side of the box (speed discontinuity, path discontinuity, control - no discontinuity)","B,C,D",A,4,4,20,20,Not reported ,Not reported ,80,6:19 (study 1),6.63,5 to 7 (5:01 to 8:14 for study 1),5.03 to 8.47,non-newborn,25,0.462962963,None,full-term,td,Not reported ,TechEn,Not reported,8,9,81,13,8,6,0,54,54,1,1,0.333333333,0.160493827,0.098765432,0.074074074
233b,233,6/28/20,"Wilcox, Teresa; Haslup, Jennifer A.; Boas, David A.",Dissociation of processing of featural and spatiotemporal information in the infant cortex,NeuroImage,2010,D,D,Cortical responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,C,lab,awake,"Trial design (20s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1 included 3 conditions involving featural changes after the object emerged on the other side of the box (shape difference, color difference, control - no difference), study 2 included 3 conditions involving spatiotemporal changes after the object emerged on the other side of the box (speed discontinuity, path discontinuity, control - no discontinuity)","B,C,D",A,4,4,20,20,Not reported ,Not reported ,80,6:01 (study 2),6.03,5 to 7 (5:01 to 7:19 for study 2),5.03 to 7.63,non-newborn,32,0.592592593,None,full-term,td,Not reported ,TechEn,Not reported,8,9,85,12,10,9,0,54,54,1,1,0.364705882,0.141176471,0.117647059,0.105882353
234a,234,6/28/20,"Wilcox, Teresa; Hawkins, Laura B.; Hirshkowitz, Amy; Boas, David A.",Cortical activation to object shape and speed of motion during the first year,NeuroImage,2014,D,D,Developmental changes in cortical responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,D,lab,awake,"Trial design (24s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1/2/3 included 3 conditions involving featural or spatiotemporal changes after the object emerged on the other side of the box (color difference, speed discontinuity, control - no difference), study 4 included 3 conditions involving spatiotemporal changes after the object emerged on the other side of the box (speed discontinuity, path discontinuity, control - no discontinuity)","B,C,D",A,4,4,24,24,Not reported ,Not reported ,96,5:07 (study 1),5.23,3 to 6 (study 1 - 3:25 to 6:10),3.83 to 6.33,non-newborn,16,0.31372549,None,full-term,td,Not reported ,TechEn,Not reported,8,9,83,0,27,5,0,51 (17 in each condition),51,1,1,0.385542169,NA,0.325301205,0.060240964
234b,234,6/28/20,"Wilcox, Teresa; Hawkins, Laura B.; Hirshkowitz, Amy; Boas, David A.",Cortical activation to object shape and speed of motion during the first year,NeuroImage,2014,D,D,Developmental changes in cortical responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,D,lab,awake,"Trial design (24s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1/2/3 included 3 conditions involving featural or spatiotemporal changes after the object emerged on the other side of the box (color difference, speed discontinuity, control - no difference), study 4 included 3 conditions involving spatiotemporal changes after the object emerged on the other side of the box (speed discontinuity, path discontinuity, control - no discontinuity)","B,C,D",A,4,4,24,24,Not reported ,Not reported ,96,7:24 (study 2),7.8,7 to 8 (study 2 - 7:01 to 8:28),7.03 to 8.93,non-newborn,20,0.392156863,None,full-term,td,Not reported ,TechEn,Not reported,8,9,81,0,19,11,0,51 (17 in each condition),51,1,1,0.37037037,NA,0.234567901,0.135802469
234c,234,6/28/20,"Wilcox, Teresa; Hawkins, Laura B.; Hirshkowitz, Amy; Boas, David A.",Cortical activation to object shape and speed of motion during the first year,NeuroImage,2014,D,D,Developmental changes in cortical responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,D,lab,awake,"Trial design (24s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1/2/3 included 3 conditions involving featural or spatiotemporal changes after the object emerged on the other side of the box (color difference, speed discontinuity, control - no difference), study 4 included 3 conditions involving spatiotemporal changes after the object emerged on the other side of the box (speed discontinuity, path discontinuity, control - no discontinuity)","B,C,D",A,4,4,24,24,Not reported ,Not reported ,96,11:22 (study 3),11.73,10 to 12 (study 3 - 10:22 to 12:14),10.73 to 12.47,non-newborn,23,0.442307692,None,full-term,td,Not reported ,TechEn,Not reported,8,9,82,0,19,11,0,"52 (18 in shape difference condition, 17 in speed discontinuity condition, 17 in control condition)",52,1,1,0.365853659,NA,0.231707317,0.134146342
234d,234,6/28/20,"Wilcox, Teresa; Hawkins, Laura B.; Hirshkowitz, Amy; Boas, David A.",Cortical activation to object shape and speed of motion during the first year,NeuroImage,2014,D,D,Developmental changes in cortical responses to featural vs. spatiotemporal changes during object processing,A,A,B,V,moving,"I (moving objects of varying color and shape, a box)",B,D,lab,awake,"Trial design (24s each) consisting of live movement of objects on a stage - experimenter wearing a black glove moved an object behind a box, trials separated by 10s silent ITI, study 1/2/3 included 3 conditions involving featural or spatiotemporal changes after the object emerged on the other side of the box (color difference, speed discontinuity, control - no difference), study 4 included 3 conditions involving spatiotemporal changes after the object emerged on the other side of the box (speed discontinuity, path discontinuity, control - no discontinuity)","B,C,D",A,4,4,24,24,Not reported ,Not reported ,96,12:13 (study 4),12.43,11 to 13 (study 4 - 11:02 to 13:13),11.07 to 13.43,non-newborn,31,0.58490566,None,full-term,td,Not reported ,TechEn,Not reported,8,9,82,2,19,8,0,"53 (17 in speed discontinuity condition, 18 in path discontinuity condition, 18 in control condition)",53,1,1,0.353658537,0.024390244,0.231707317,0.097560976
